pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
63,3336,643538,648428,4873,4890,37.0,640202,4446
64,2803,146390,148806,2398,2416,36.0,143587,2197
64,3005,250795,251211,396,416,36.0,247790,379
64,3235,465277,469722,4433,4445,36.0,462042,4041
64,3389,648429,650946,2497,2517,36.0,645040,2289
65,2878,148807,150738,1914,1931,35.0,145929,1756
65,3036,251212,251231,0,19,35.0,248176,18
65,3287,469723,471597,1859,1874,35.0,466436,1704
65,3452,650947,653318,2354,2371,35.0,647495,2156
66,2904,150739,153739,2981,3000,34.0,147835,2728
66,3160,251232,251399,154,167,34.0,248072,152
66,3310,471598,473495,1881,1897,34.0,468288,1725
66,3460,653319,658558,5225,5239,34.0,649859,4763
67,2908,153740,157148,3388,3408,33.0,150832,3099
67,3260,251400,251590,176,190,33.0,248140,173
67,3371,473496,477419,3905,3923,33.0,470125,3567
67,3537,658559,661049,2475,2490,33.0,655022,2264
68,3071,157149,157384,220,235,32.0,154078,214
68,3306,251591,251612,0,21,32.0,248285,20
68,3378,477420,482895,5456,5475,32.0,474042,4978
68,3541,661050,662812,1749,1762,32.0,657509,1602
69,3076,157385,159582,2178,2197,31.0,154309,1998
69,3319,251613,252030,396,417,31.0,248294,380
69,3379,482896,487152,4235,4256,31.0,479517,3870
69,3543,662813,665996,3168,3183,31.0,659270,2894
70,3126,159583,163899,4301,4316,30.0,156457,3924
70,3402,252031,252575,528,544,30.0,248629,495
70,3386,487153,492013,4840,4860,30.0,483767,4419
70,3616,665997,669020,3003,3023,30.0,662381,2749
71,3227,163900,167140,3223,3240,29.0,160673,2946
71,3447,252576,253048,451,472,29.0,249129,430
71,3400,492014,497167,5137,5153,29.0,488614,4685
71,3662,669021,672786,3751,3765,29.0,665359,3423
72,3322,167141,172521,5368,5380,28.0,163819,4891
72,3453,253049,253369,308,320,28.0,249596,291
72,3431,497168,501112,3927,3944,28.0,493737,3586
72,3686,672787,674098,1298,1311,28.0,669101,1192
73,3371,172522,173615,1078,1093,27.0,169151,994
73,3469,253370,253608,220,238,27.0,249901,217
73,3563,501113,503529,2398,2416,27.0,497550,2197
73,3732,674099,678942,4829,4843,27.0,670367,4403
74,3447,173616,175604,1969,1988,26.0,170169,1808
74,3491,253609,254150,528,541,26.0,250118,492
74,3645,503530,508910,5368,5380,26.0,499885,4891
74,3738,678943,682336,3377,3393,26.0,675205,3085
75,3505,175605,178339,2717,2734,25.0,172100,2486
75,3527,254151,254430,264,279,25.0,250624,254
75,3738,508911,510177,1254,1266,25.0,505173,1151
75,3746,682337,686984,4631,4647,25.0,678591,4225
76,3535,178340,183223,4862,4883,24.0,174805,4440
76,3529,254431,254828,385,397,24.0,250902,361
76,3819,510178,512952,2761,2774,24.0,506359,2522
76,3827,686985,692119,5115,5134,24.0,683158,4668
77,3540,183224,188630,5390,5406,23.0,179684,4915
77,3570,254829,255200,352,371,23.0,251259,338
77,3836,512953,515850,2882,2897,23.0,509117,2634
77,3866,692120,695619,3487,3499,23.0,688254,3181
78,3552,188631,191297,2651,2666,22.0,185079,2424
78,3771,255201,255749,528,548,22.0,251430,499
78,3899,515851,518207,2343,2356,22.0,511952,2142
78,3940,695620,700341,4708,4721,22.0,691680,4292
79,3580,191298,192757,1441,1459,21.0,187718,1327
79,3912,255750,256194,429,444,21.0,251838,404
79,3962,518208,523465,5236,5257,21.0,514246,4780
79,3940,700342,703075,2717,2733,21.0,696402,2485
80,3701,192758,193702,924,944,20.0,189057,859
80,3956,256195,256704,495,509,20.0,252239,463
80,3978,523466,525222,1738,1756,20.0,519488,1597
80,4080,703076,705657,2563,2581,20.0,698996,2347
81,3702,193703,195146,1430,1443,19.0,190001,1312
81,4037,256705,256719,0,14,19.0,252668,13
81,3982,525223,526665,1430,1442,19.0,521241,1311
81,4134,705658,709183,3509,3525,19.0,701524,3205
82,3720,195147,196624,1463,1477,18.0,191427,1343
82,4122,256720,257147,407,427,18.0,252598,389
82,3985,526666,528224,1540,1558,18.0,522681,1417
82,4273,709184,713360,4158,4176,18.0,704911,3797
83,3726,196625,201150,4510,4525,17.0,192899,4114
83,4161,257148,257195,33,47,17.0,252987,43
83,3993,528225,529608,1364,1383,17.0,524232,1258
83,4328,713361,716113,2739,2752,17.0,709033,2502
84,3766,201151,203355,2189,2204,16.0,197385,2004
84,4194,257196,257374,165,178,16.0,253002,162
84,4067,529609,532280,2651,2671,16.0,525542,2429
84,4368,716114,719347,3212,3233,16.0,711746,2940
85,3827,203356,208187,4818,4831,15.0,199529,4392
85,4245,257375,257582,187,207,15.0,253130,189
85,4081,532281,535352,3058,3071,15.0,528200,2792
85,4378,719348,720636,1276,1288,15.0,714970,1171
86,3844,208188,208274,66,86,14.0,204344,79
86,4250,257583,257876,275,293,14.0,253333,267
86,4283,535353,537534,2167,2181,14.0,531070,1983
86,4441,720637,723151,2497,2514,14.0,716196,2286
87,3908,208275,210523,2233,2248,13.0,204367,2044
87,4356,257877,258264,374,387,13.0,253521,352
87,4435,537535,540480,2926,2945,13.0,533100,2678
87,4441,723152,727958,4785,4806,13.0,718711,4370
88,3930,210524,214969,4433,4445,12.0,206594,4041
88,4358,258265,258443,165,178,12.0,253907,162
88,4483,540481,545077,4576,4596,12.0,535998,4179
88,4455,727959,731932,3960,3973,12.0,723504,3612
89,4056,214970,215656,671,686,11.0,210914,624
89,4399,258444,258478,22,34,11.0,254045,31
89,4502,545078,550418,5324,5340,11.0,540576,4855
89,4521,731933,737098,5148,5165,11.0,727412,4696
90,4101,215657,215925,253,268,10.0,211556,244
90,4435,258479,258528,33,49,10.0,254044,45
90,4545,550419,551740,1309,1321,10.0,545874,1201
90,4522,737099,739004,1892,1905,10.0,732577,1732
91,4115,215926,216961,1023,1035,9.0,211811,941
91,4499,258529,258598,55,69,9.0,254030,63
91,4567,551741,555022,3267,3281,9.0,547174,2983
91,4589,739005,744411,5390,5406,9.0,734416,4915
92,4144,216962,219946,2970,2984,8.0,212818,2713
92,4552,258599,258730,110,131,8.0,254047,120
92,4633,555023,556143,1100,1120,8.0,550390,1019
92,4640,744412,746918,2486,2506,8.0,739772,2279
93,4206,219947,220930,968,983,7.0,215741,894
93,4577,258731,258987,242,256,7.0,254154,233
93,4682,556144,559434,3278,3290,7.0,551462,2991
93,4665,746919,751502,4565,4583,7.0,742254,4167
94,4224,220931,225169,4224,4238,6.0,216707,3853
94,4667,258988,259243,242,255,6.0,254321,232
94,4706,559435,563951,4499,4516,6.0,554729,4106
94,4828,751503,753976,2453,2473,6.0,746675,2249
95,4292,225170,226559,1375,1389,5.0,220878,1263
95,4749,259244,259597,341,353,5.0,254495,321
95,4817,563952,569447,5478,5495,5.0,559135,4996
95,4852,753977,755903,1914,1926,5.0,749125,1751
96,4476,226560,228256,1683,1696,4.0,222084,1542
96,4756,259598,259734,121,136,4.0,254842,124
96,4824,569448,574437,4972,4989,4.0,564624,4536
96,4903,755904,761043,5126,5139,4.0,751001,4672
97,4790,228257,228773,495,516,3.0,223467,470
97,4881,259735,260266,517,531,3.0,254854,483
97,4831,574438,578874,4422,4436,3.0,569607,4033
97,4967,761044,765838,4774,4794,3.0,756077,4359
98,4814,228774,230280,1485,1506,2.0,223960,1370
98,4913,260267,260629,341,362,2.0,255354,330
98,4896,578875,581197,2310,2322,2.0,573979,2111
98,4976,765839,770799,4939,4960,2.0,760863,4510
99,4967,230281,231219,924,938,1.0,225314,853
99,4962,260630,260998,352,368,1.0,255668,335
99,4909,581198,583569,2354,2371,1.0,576289,2156
99,4982,770800,772335,1518,1535,1.0,765818,1396
