pids,instantiation times,start times,finish times,total wait times,turnaround times,average queue lengths,response times,required cpu times
79,3962,518208,523465,5236,5257,21.0,514246,4780
80,3701,192758,193702,924,944,20.0,189057,859
80,3956,256195,256704,495,509,20.0,252239,463
80,3978,523466,525222,1738,1756,20.0,519488,1597
81,3702,193703,195146,1430,1443,19.0,190001,1312
81,4037,256705,256719,0,14,19.0,252668,13
81,3982,525223,526665,1430,1442,19.0,521241,1311
82,3720,195147,196624,1463,1477,18.0,191427,1343
82,4122,256720,257147,407,427,18.0,252598,389
82,3985,526666,528224,1540,1558,18.0,522681,1417
83,3726,196625,201150,4510,4525,17.0,192899,4114
83,4161,257148,257195,33,47,17.0,252987,43
83,3993,528225,529608,1364,1383,17.0,524232,1258
84,3766,201151,203355,2189,2204,16.0,197385,2004
84,4194,257196,257374,165,178,16.0,253002,162
84,4067,529609,532280,2651,2671,16.0,525542,2429
85,3827,203356,208187,4818,4831,15.0,199529,4392
85,4245,257375,257582,187,207,15.0,253130,189
85,4081,532281,535352,3058,3071,15.0,528200,2792
86,3844,208188,208274,66,86,14.0,204344,79
86,4250,257583,257876,275,293,14.0,253333,267
86,4283,535353,537534,2167,2181,14.0,531070,1983
87,3908,208275,210523,2233,2248,13.0,204367,2044
87,4356,257877,258264,374,387,13.0,253521,352
87,4435,537535,540480,2926,2945,13.0,533100,2678
88,3930,210524,214969,4433,4445,12.0,206594,4041
88,4358,258265,258443,165,178,12.0,253907,162
88,4483,540481,545077,4576,4596,12.0,535998,4179
89,4056,214970,215656,671,686,11.0,210914,624
89,4399,258444,258478,22,34,11.0,254045,31
89,4502,545078,550418,5324,5340,11.0,540576,4855
90,4101,215657,215925,253,268,10.0,211556,244
90,4435,258479,258528,33,49,10.0,254044,45
90,4545,550419,551740,1309,1321,10.0,545874,1201
91,4115,215926,216961,1023,1035,9.0,211811,941
91,4499,258529,258598,55,69,9.0,254030,63
91,4567,551741,555022,3267,3281,9.0,547174,2983
92,4144,216962,219946,2970,2984,8.0,212818,2713
92,4552,258599,258730,110,131,8.0,254047,120
92,4633,555023,556143,1100,1120,8.0,550390,1019
93,4206,219947,220930,968,983,7.0,215741,894
93,4577,258731,258987,242,256,7.0,254154,233
93,4682,556144,559434,3278,3290,7.0,551462,2991
94,4224,220931,225169,4224,4238,6.0,216707,3853
94,4667,258988,259243,242,255,6.0,254321,232
94,4706,559435,563951,4499,4516,6.0,554729,4106
95,4292,225170,226559,1375,1389,5.0,220878,1263
95,4749,259244,259597,341,353,5.0,254495,321
95,4817,563952,569447,5478,5495,5.0,559135,4996
96,4476,226560,228256,1683,1696,4.0,222084,1542
96,4756,259598,259734,121,136,4.0,254842,124
96,4824,569448,574437,4972,4989,4.0,564624,4536
97,4790,228257,228773,495,516,3.0,223467,470
97,4881,259735,260266,517,531,3.0,254854,483
97,4831,574438,578874,4422,4436,3.0,569607,4033
98,4814,228774,230280,1485,1506,2.0,223960,1370
98,4913,260267,260629,341,362,2.0,255354,330
98,4896,578875,581197,2310,2322,2.0,573979,2111
99,4967,230281,231219,924,938,1.0,225314,853
99,4962,260630,260998,352,368,1.0,255668,335
99,4909,581198,583569,2354,2371,1.0,576289,2156
